id,organizationId,type,firstname,name,siteWeb,phone,phone2,mail,address,commune,distance,hasDispo,dateDispo,isAvip,servesCommune,searchLabel,searchUrl
f189c602-138b-400e-b9b2-533ce5772144,12616763,EAJE,,"JARDIN D'ENFANTS ""PAGNOL""",,0442273296,,csc.jean-paul-coste@wanadoo.fr, Avenue PIERRE BROSSOLETTE 13100 AIX EN PROVENCE,AIX EN PROVENCE,0,NR,,false,,AIX EN PROVENCE CRECHE,"https://monenfant.fr/que-recherchez-vous?structure=EAJE&location=Aix-en-Provence,%20Bouches-du-Rh%C3%B4ne,%20Provence-Alpes-C%C3%B4te%20d%27Azur,%20FRA&x=5.447381703606&y=43.529801070774&radius=30000"
379c3705-415a-404b-98f5-d1ed550aa3e9,12863565,EAJE,,LES PETITS CHAPERONS ROUGES - AIX DSP BERLINGOT,http://www.lpcr.fr,0442285433,,berlingot@lpcr.fr,2 Chemin de la Bosque d'Antonnelle  - Quartier Celony 13090 AIX EN PROVENCE,AIX EN PROVENCE,0,NR,,false,,AIX EN PROVENCE CRECHE,"https://monenfant.fr/que-recherchez-vous?structure=EAJE&location=Aix-en-Provence,%20Bouches-du-Rh%C3%B4ne,%20Provence-Alpes-C%C3%B4te%20d%27Azur,%20FRA&x=5.447381703606&y=43.529801070774&radius=30000"
60bcf714-e63f-424f-a6ae-769544eb4022,12862748,EAJE,,LES PETITS CHAPERONS ROUGES - AIX DSP BOUTCHOUS,http://www.lpcr.fr,0442200019,,boutchous@lpcr.fr, Allée des Amandiers - ZAC des deux Ormes - Jas de Bouffan 13090 AIX EN PROVENCE,AIX EN PROVENCE,0,NR,,false,,AIX EN PROVENCE CRECHE,"https://monenfant.fr/que-recherchez-vous?structure=EAJE&location=Aix-en-Provence,%20Bouches-du-Rh%C3%B4ne,%20Provence-Alpes-C%C3%B4te%20d%27Azur,%20FRA&x=5.447381703606&y=43.529801070774&radius=30000"
6cfd6289-6d58-46cf-9326-79d6cf2d429b,12862705,EAJE,,LES PETITS CHAPERONS ROUGES - AIX DSP ENFANTS DU WALLON,http://www.lpcp.fr,0442203062,,enfduwal@lpcr.fr,4 Rue Hugo Ely - ZAC Jas de Bouffan 13090 AIX EN PROVENCE,AIX EN PROVENCE,0,NR,,false,,AIX EN PROVENCE CRECHE,"https://monenfant.fr/que-recherchez-vous?structure=EAJE&location=Aix-en-Provence,%20Bouches-du-Rh%C3%B4ne,%20Provence-Alpes-C%C3%B4te%20d%27Azur,%20FRA&x=5.447381703606&y=43.529801070774&radius=30000"
63ac9f1b-e808-47e2-addc-9f5c3669f59d,12862404,EAJE,,LES PETITS CHAPERONS ROUGES - AIX DSP PETIT JARDIN,http://www.lpcr.fr,0442593841,,petit.jardin@lpcr-aix.fr,14 Place Romée Villeneuve 13090 AIX EN PROVENCE,AIX EN PROVENCE,0,NR,,false,,AIX EN PROVENCE CRECHE,"https://monenfant.fr/que-recherchez-vous?structure=EAJE&location=Aix-en-Provence,%20Bouches-du-Rh%C3%B4ne,%20Provence-Alpes-C%C3%B4te%20d%27Azur,%20FRA&x=5.447381703606&y=43.529801070774&radius=30000"
8d6bbcdb-0cec-49e7-9a36-8ee499d2c6ac,12863909,EAJE,,LES PETITS CHAPERONS ROUGES - MAC LA DURANNE,http://www.lpcr.fr,0442900134,,aix@lpcr.fr,975 Rue René Descartes -Parc de la Duranne 13100 AIX EN PROVENCE,AIX EN PROVENCE,0,NR,,false,,AIX EN PROVENCE CRECHE,"https://monenfant.fr/que-recherchez-vous?structure=EAJE&location=Aix-en-Provence,%20Bouches-du-Rh%C3%B4ne,%20Provence-Alpes-C%C3%B4te%20d%27Azur,%20FRA&x=5.447381703606&y=43.529801070774&radius=30000"
6df63ec6-2c9c-41ad-b255-546b8d2cde88,12862877,EAJE,,LES PETITS CHAPERONS ROUGES -AIX DSP PIROUETTE,http://www.lpcr.fr,0442234956,,pirouette@lpcr.fr, Rue Lisse Saint Louis 13090 AIX EN PROVENCE,AIX EN PROVENCE,0,NR,,false,,AIX EN PROVENCE CRECHE,"https://monenfant.fr/que-recherchez-vous?structure=EAJE&location=Aix-en-Provence,%20Bouches-du-Rh%C3%B4ne,%20Provence-Alpes-C%C3%B4te%20d%27Azur,%20FRA&x=5.447381703606&y=43.529801070774&radius=30000"
c5f551ee-4eef-4f21-981d-804f5e9d3c2b,40679692,EAJE,,MAC AIX LA PARADE,https://www.lpcr.fr/fr/,0428690296,,aix.parade@lpcr.fr,1600 Route dse Milles 13090 AIX EN PROVENCE,AIX EN PROVENCE,0,NR,,false,,AIX EN PROVENCE CRECHE,"https://monenfant.fr/que-recherchez-vous?structure=EAJE&location=Aix-en-Provence,%20Bouches-du-Rh%C3%B4ne,%20Provence-Alpes-C%C3%B4te%20d%27Azur,%20FRA&x=5.447381703606&y=43.529801070774&radius=30000"
76a1d917-6815-4fb2-8792-29f541404613,12865070,EAJE,,MAC LES GRAINES D'ETOILE,http://www.lpcr.fr,0442580091,,graine.etoile@lpcr-aix.fr, Avenue François Arago 13090 AIX EN PROVENCE,AIX EN PROVENCE,0,NR,,false,,AIX EN PROVENCE CRECHE,"https://monenfant.fr/que-recherchez-vous?structure=EAJE&location=Aix-en-Provence,%20Bouches-du-Rh%C3%B4ne,%20Provence-Alpes-C%C3%B4te%20d%27Azur,%20FRA&x=5.447381703606&y=43.529801070774&radius=30000"
419e802b-f1f3-42aa-bf27-e822c1322f03,12701868,EAJE,,MAC LES LIERRES,https://www.crecheleslierres.com/,0442271806,,mac.leslierres@free.fr,19 Chemin Coton Rouge Résidence Les Lierres - Bâtiment B2 13100 AIX EN PROVENCE,AIX EN PROVENCE,0,NR,,false,,AIX EN PROVENCE CRECHE,"https://monenfant.fr/que-recherchez-vous?structure=EAJE&location=Aix-en-Provence,%20Bouches-du-Rh%C3%B4ne,%20Provence-Alpes-C%C3%B4te%20d%27Azur,%20FRA&x=5.447381703606&y=43.529801070774&radius=30000"
